eventID,measurementType,measurementValue,measurementUnit
VIS_2496,length,5.4,cm
VIS_2496,sampling distance,50.0,meter
VIS_2496,weight,2.10,g
VIS_2497,length,5.0,cm
VIS_2497,sampling distance,50.0,meter
VIS_2497,weight,1.90,g
VIS_2498,length,5.2,cm
VIS_2498,sampling distance,50.0,meter
VIS_2498,weight,2.80,g
VIS_2499,length,5.0,cm
VIS_2499,sampling distance,50.0,meter
VIS_2499,weight,1.70,g
VIS_2500,length,5.2,cm
VIS_2500,sampling distance,50.0,meter
VIS_2500,weight,1.60,g
VIS_2501,length,1.8,cm
VIS_2501,sampling distance,50.0,meter
VIS_2501,weight,1.50,g
VIS_2502,length,5.2,cm
VIS_2502,sampling distance,50.0,meter
VIS_2502,weight,1.50,g
VIS_2503,length,5.0,cm
VIS_2503,sampling distance,50.0,meter
VIS_2503,weight,1.60,g
VIS_2504,length,5.2,cm
VIS_2504,sampling distance,50.0,meter
VIS_2504,weight,1.60,g
VIS_2505,length,5.0,cm
VIS_2505,sampling distance,50.0,meter
VIS_2505,weight,2.00,g
VIS_2506,length,5.2,cm
VIS_2506,sampling distance,50.0,meter
VIS_2506,weight,1.80,g
VIS_2507,length,5.0,cm
VIS_2507,sampling distance,50.0,meter
VIS_2507,weight,1.50,g
VIS_2508,length,5.0,cm
VIS_2508,sampling distance,50.0,meter
VIS_2508,weight,1.70,g
VIS_2509,length,5.0,cm
VIS_2509,sampling distance,50.0,meter
VIS_2509,weight,1.40,g
VIS_2510,length,5.0,cm
VIS_2510,sampling distance,50.0,meter
VIS_2510,weight,1.80,g
VIS_2511,sampling distance,50.0,meter
VIS_2511,weight,48.50,g
VIS_2517,length,13.0,cm
VIS_2517,sampling distance,50.0,meter
VIS_2517,weight,18.70,g
VIS_2518,length,16.0,cm
VIS_2518,sampling distance,50.0,meter
VIS_2518,weight,37.50,g
VIS_2519,sampling distance,50.0,meter
VIS_2519,weight,17.30,g
VIS_2520,length,14.0,cm
VIS_2520,sampling distance,50.0,meter
